net,length_um
net44,127.54µm
net47,125.88µm
net46,108.94µm
net42,105.34µm
net43,99.98µm
net36,99.3µm
_151_,99.2µm
clknet_2_1__leaf_clk,97.08µm
clknet_2_3__leaf_clk,92.6µm
clknet_2_0__leaf_clk,77.82µm
net35,75.14µm
_157_,71.16µm
clk,67.5µm
net41,66.32µm
net15,65.42µm
net45,65.16µm
net10,61.36µm
net17,56.86µm
clknet_0_clk,54.5µm
net39,53µm
_051_,52.94µm
_156_,51.52µm
net18,50.48µm
_032_,49.82µm
clknet_2_2__leaf_clk,49.37µm
net19,49.24µm
_056_,49µm
_049_,47.66µm
net6,47.48µm
net25,47.04µm
net7,44.59µm
net33,44.41µm
_035_,43.6µm
net23,42.94µm
_165_,42.49µm
_040_,42.38µm
net12,41.88µm
net16,41.8µm
net11,41.08µm
_154_,40.3µm
_050_,40.28µm
net13,39.12µm
_039_,38.53µm
net34,38.48µm
net40,37.98µm
net3,37.94µm
net28,37.14µm
net20,34.52µm
_164_,33.38µm
net38,33.3µm
_160_,33.2µm
net27,31.5µm
net8,31.32µm
net30,30.04µm
net22,29.78µm
net29,29.66µm
_046_,26.76µm
net24,26.48µm
_128_,26.46µm
_036_,26.14µm
net2,25.86µm
net26,25.7µm
net1,25.415µm
_150_,25.08µm
_152_,23.935µm
net9,23.52µm
net21,23.02µm
_082_,22.82µm
_096_,22.28µm
_065_,22.1µm
_127_,21.63µm
_053_,20.52µm
_061_,19.92µm
_080_,19.82µm
_054_,18.66µm
_043_,18.22µm
_123_,17.66µm
_131_,17.64µm
_115_,17.06µm
_047_,16.96µm
net14,16.46µm
_166_,16.36µm
_118_,16.22µm
_100_,16.15µm
_033_,15.88µm
_027_,15.76µm
net31,15.32µm
_095_,15.26µm
_076_,14.34µm
_023_,13.985µm
count[12],13.94µm
_126_,13.38µm
_038_,13.36µm
_094_,12.85µm
net5,12.64µm
_163_,12.42µm
_034_,12.26µm
_045_,12.18µm
count[8],11.7µm
_041_,11.68µm
_099_,11.36µm
_106_,11.32µm
net32,10.88µm
count[14],10.8µm
count[22],10.78µm
count[31],10.77µm
_167_,10.74µm
_137_,10.71µm
_071_,10.66µm
_083_,10.66µm
count[23],10.32µm
_037_,10.24µm
_026_,10.18µm
_145_,10.18µm
_159_,10.02µm
count[20],9.86µm
count[21],9.86µm
_139_,9.84µm
_007_,9.825µm
net59,9.82µm
_020_,9.705µm
net4,9.58µm
_114_,9.5µm
count[5],9.42µm
count[6],9.42µm
_072_,9.38µm
_143_,9.3µm
_057_,9.06µm
_091_,9.04µm
count[11],8.96µm
count[13],8.96µm
count[15],8.96µm
count[7],8.96µm
count[9],8.96µm
_134_,8.86µm
_124_,8.74µm
_142_,8.66µm
_130_,8.14µm
_042_,8.1µm
count[3],8.05µm
_092_,8.04µm
count[10],8.04µm
count[4],8.04µm
_155_,8.02µm
_149_,7.98µm
_111_,7.92µm
_108_,7.9µm
_113_,7.9µm
_104_,7.74µm
_068_,7.66µm
_024_,7.58µm
_086_,7.58µm
_147_,7.56µm
net57,7.56µm
count[1],7.49µm
_070_,7.34µm
_129_,7.29µm
_021_,7.105µm
_089_,7.1µm
_125_,7.06µm
_138_,7µm
count[28],6.55µm
_153_,6.5µm
rst_n,6.43µm
net51,6.3µm
_110_,6.18µm
_136_,6.14µm
net37,6.14µm
_148_,6.08µm
net63,5.96µm
net64,5.86µm
_119_,5.8µm
count[16],5.75µm
_085_,5.68µm
count[26],5.53µm
count[27],5.53µm
count[30],5.53µm
_073_,5.5µm
_079_,5.46µm
_010_,5.455µm
_055_,5.36µm
_078_,5.265µm
count[24],5.19µm
count[25],5.19µm
count[29],5.19µm
_140_,5.14µm
count[0],5.07µm
count[17],5.07µm
count[18],5.07µm
count[19],5.07µm
count[2],5.07µm
_016_,4.975µm
en,4.95µm
net54,4.92µm
_004_,4.885µm
_003_,4.845µm
net56,4.8µm
_116_,4.68µm
_146_,4.66µm
_088_,4.6µm
_022_,4.585µm
_030_,4.525µm
_059_,4.48µm
net53,4.48µm
net65,4.46µm
_121_,4.42µm
_002_,4.385µm
_107_,4.34µm
_025_,4.26µm
_015_,4.24µm
_093_,4µm
_028_,3.925µm
_044_,3.88µm
_029_,3.78µm
_081_,3.66µm
_063_,3.56µm
_133_,3.56µm
_052_,3.54µm
_012_,3.465µm
_018_,3.465µm
_161_,3.44µm
_067_,3.42µm
_098_,3.32µm
_005_,3.245µm
net55,3.22µm
net62,3.22µm
net52,3.08µm
_058_,2.98µm
_019_,2.975µm
_069_,2.96µm
_087_,2.96µm
net49,2.96µm
_009_,2.935µm
_011_,2.935µm
_001_,2.785µm
_013_,2.715µm
_006_,2.705µm
_162_,2.64µm
net66,2.64µm
_101_,2.52µm
_105_,2.52µm
_008_,2.485µm
_144_,2.3µm
net58,2.3µm
_031_,2.255µm
_117_,2.18µm
_077_,2.16µm
_090_,2.16µm
net48,2.16µm
_000_,2.145µm
_014_,2.145µm
_017_,2.125µm
_060_,2.06µm
_048_,2.04µm
_135_,1.84µm
net50,1.7µm
_064_,1.6µm
_112_,1.48µm
_075_,1.38µm
_141_,1.38µm
_158_,1.38µm
_062_,1.26µm
_102_,1.26µm
_074_,1.14µm
_103_,1.14µm
_122_,1.14µm
_084_,0.92µm
_132_,0.92µm
net67,0.92µm
_066_,0.8µm
_097_,0.8µm
_109_,0.46µm
_120_,0.46µm
net60,0.46µm
net61,0.46µm
