Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_3,VGND,li1,7.3600,38.0800,0.000053
FILLER_8_50,VGND,li1,28.9800,32.6400,0.000027
FILLER_8_3,VGND,li1,7.1300,32.6400,0.000037
FILLER_7_3,VGND,li1,7.1300,32.6400,0.000037
FILLER_6_38,VGND,li1,23.4600,27.2000,0.000064
FILLER_6_7,VGND,li1,8.9700,27.2000,0.000089
FILLER_5_43,VGND,li1,25.7600,27.2000,0.000067
FILLER_5_16,VGND,li1,13.1100,27.2000,0.000088
FILLER_4_40,VGND,li1,24.3800,21.7600,0.000021
FILLER_4_19,VGND,li1,14.4900,21.7600,0.000024
FILLER_4_15,VGND,li1,13.3400,21.7600,0.000024
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000024
FILLER_3_9,VGND,li1,9.8900,21.7600,0.000024
FILLER_3_3,VGND,li1,8.2800,21.7600,0.000024
FILLER_2_55,VGND,li1,31.0500,16.3200,0.000035
FILLER_2_7,VGND,li1,8.9700,16.3200,0.000060
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000035
FILLER_1_42,VGND,li1,25.0700,16.3200,0.000033
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000061
FILLER_0_21,VGND,li1,15.4100,10.8800,0.000042
FILLER_0_15,VGND,li1,13.8000,10.8800,0.000042
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000042
hold7,VGND,li1,31.2800,21.7600,0.000021
hold6,VGND,li1,31.2800,32.6400,0.000028
hold5,VGND,li1,20.7000,32.6400,0.000030
hold4,VGND,li1,20.2400,32.6400,0.000030
hold3,VGND,li1,11.9600,21.7600,0.000024
hold2,VGND,li1,28.9800,16.3200,0.000034
hold1,VGND,li1,29.4400,27.2000,0.000069
clkbuf_1_1__f_clk,VGND,li1,23.4600,38.0800,0.000047
clkbuf_1_0__f_clk,VGND,li1,23.4600,10.8800,0.000041
clkbuf_0_clk,VGND,li1,20.7000,27.2000,0.000080
output21,VGND,li1,32.2000,16.3200,0.000035
output20,VGND,li1,7.8200,27.2000,0.000090
output19,VGND,li1,17.4800,32.6400,0.000033
output18,VGND,li1,17.4800,38.0800,0.000051
output17,VGND,li1,25.7600,21.7600,0.000020
output16,VGND,li1,14.2600,38.0800,0.000052
output15,VGND,li1,30.3600,38.0800,0.000049
output14,VGND,li1,7.8200,16.3200,0.000061
output13,VGND,li1,30.3600,10.8800,0.000043
output12,VGND,li1,26.2200,16.3200,0.000033
output11,VGND,li1,7.8200,27.2000,0.000090
input10,VGND,li1,28.0600,21.7600,0.000020
input9,VGND,li1,32.4300,38.0800,0.000049
input8,VGND,li1,28.7500,38.0800,0.000049
input7,VGND,li1,12.6500,38.0800,0.000053
input6,VGND,li1,9.4300,27.2000,0.000089
input5,VGND,li1,10.8100,27.2000,0.000089
input4,VGND,li1,12.1900,27.2000,0.000089
input3,VGND,li1,8.5100,38.0800,0.000053
input2,VGND,li1,28.7500,10.8800,0.000043
input1,VGND,li1,15.8700,38.0800,0.000052
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000049
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000051
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000033
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000028
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000082
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000070
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000023
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000021
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000049
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000035
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000043
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000042
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000053
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000037
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000037
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000090
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000090
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000024
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000024
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000061
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000061
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000042
